PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PriceperSQFT,HOA
Vacant Land,405 E 71st,Tacoma,WA,98404,100000,,,Tacoma,,5000,,67,,0
Vacant Land,249 E 71st,Tacoma,WA,98404,100000,,,Tacoma,,7660,,67,,0
Vacant Land,245 E 71st St,Tacoma,WA,98404,100000,,,Tacoma,,7660,,67,,0
Vacant Land,241 E 71st,Tacoma,WA,98404,100000,,,Tacoma,,7660,,67,,0
Vacant Land,0 XXX E D St,Tacoma,WA,98404,100000,,,Tacoma,,5000,,67,,0
Single Family Residential,1806 S 15th St,Tacoma,WA,98405,285000,2,1,Central Tacoma,786,5177,1951,68,363,0
Single Family Residential,15103 33rd Avenue Ct E,Tacoma,WA,98446,719950,4,3,Brookdale,2001,28103,2021,68,360,0
Vacant Land,4409 Marine View Dr,Tacoma,WA,98422,600000,,,North Tacoma,,432986,,69,,0
Single Family Residential,1410 6th Ave,Tacoma,WA,98405,324950,3,1,Central Tacoma,1400,1190,1900,71,232,0
Single Family Residential,5902 Beverly Ave NE,Tacoma,WA,98422,1195000,4,4,Browns Point,3571,6680,2003,72,335,0
Vacant Land,1410 E Morton St,Tacoma,WA,98404,79900,,,Indian Addition,,6508,,73,,0
Vacant Land,4815 Center St,Tacoma,WA,98409,950000,,,Tacoma,,43437,,74,,0
Single Family Residential,5205 128th St E,Tacoma,WA,98446,349950,1,1,Tacoma,799,8276,1942,74,438,0
Single Family Residential,4602 60th Street Ct E,Tacoma,WA,98443,589950,3,2,Se Tacoma,1556,16117,1986,74,379,0
Vacant Land,4844 N Shirley St,Tacoma,WA,98407,1200000,,,North Tacoma,,31960,,74,,0
Single Family Residential,3018 S Windom St,Tacoma,WA,98409,398000,3,2,Tacoma,1550,5500,1912,81,257,0
Single Family Residential,4624 44th Ave E,Tacoma,WA,98443,659900,4,3,Summit,3044,96268,1980,81,217,0
Single Family Residential,3525 S M St,Tacoma,WA,98418,379950,2,1,Lincoln,912,4810,1924,82,417,0
Single Family Residential,2308 S Ash St,Tacoma,WA,98405,750000,4,2.5,Hilltop,2745,5750,2021,83,273,0
Vacant Land,3566 E Portland Ave,Tacoma,WA,98404,324995,,,McKinley,,78145,,83,,0
Vacant Land,6014 28th St NE #2,Tacoma,WA,98422,120000,,,Ne Tacoma,,9000,,84,,0
Vacant Land,6014 28th St NE #1,Tacoma,WA,98422,158000,,,Ne Tacoma,,9000,,85,,0
Single Family Residential,4028 N Frace Ave,Tacoma,WA,98407,850000,3,2.5,Narrows,1836,10890,1985,86,463,0
Single Family Residential,2514 S Sheridan Ave,Tacoma,WA,98405,399950,3,1,Tacoma,1791,3510,1910,88,223,0
Multi-Family (5+ Unit),4849 S Yakima Ave,Tacoma,WA,98408,775000,6,5,South Tacoma,2915,3750,1911,89,266,0
Single Family Residential,12401 14th Ave E,Tacoma,WA,98445,1600000,4,5.5,Tacoma,6132,79715,1992,89,261,0
Vacant Land,1510 S Union Ave,Tacoma,WA,98405,685000,,,Tacoma,,11861,,92,,0
Townhouse,14866 36th Avenue Ct E #14,Tacoma,WA,98446,379950,3,2,Brookdale,1228,,2006,92,309,1
Townhouse,14850 36th Avenue Ct E #18,Tacoma,WA,98446,419950,3,2.5,Brookdale,1625,,2006,92,258,1
Vacant Land,6223 S Verde St,Tacoma,WA,98409,100000,,,Tacoma,,9200,,95,,0
Single Family Residential,6601 S Gove St,Tacoma,WA,98409,550000,4,2.5,Tacoma,2165,5750,2021,95,254,0
Single Family Residential,3311 S Gunnison St,Tacoma,WA,98409,275000,1,1,South Tacoma,538,6000,1917,96,511,0
Single Family Residential,1209 108th St S,Tacoma,WA,98374,399950,4,3,South Tacoma,1454,8434,1947,99,275,0
Single Family Residential,1649 E Wright St,Tacoma,WA,98404,360000,2,1,Indian Addition,1086,6500,1900,101,331,0
Single Family Residential,425 S 58th St,Tacoma,WA,98408,439000,2,2,Tacoma,1104,12000,1920,102,398,0
Single Family Residential,127 116th St S,Tacoma,WA,98444,430000,3,2,Parkland,1340,6251,2016,102,321,0
Condo/Co-op,5105 Grand Loop #408,Tacoma,WA,98407,850000,3,3,Ruston,1760,1052,2016,103,483,1
Single Family Residential,2117 S Ash St,Tacoma,WA,98405,499500,3,1,Hilltop,2560,5750,1910,103,195,0
Single Family Residential,221 126th St E,Tacoma,WA,98445,2150000,0,,Parkland,1726,156816,1949,103,1246,0
Single Family Residential,6811 E Portland Ave,Tacoma,WA,98404,485000,3,2.5,East Tacoma,1358,19602,1979,105,357,0
Vacant Land,4315 N 27th St,Tacoma,WA,98407,210000,,,Proctor,,700,,113,,0
Vacant Land,4515 180th street east,Tacoma,WA,98446,625000,,,Frederickson,,111949,,117,,0
Single Family Residential,10430 Patterson St S,Tacoma,WA,98444,299950,1,1,Parkland,520,14810,1943,117,577,0
Condo/Co-op,501 N D St #11,Tacoma,WA,98403,465000,2,1.5,North Tacoma,1158,1344,1964,117,402,1
Single Family Residential,10111 McKinley Ave E,Tacoma,WA,98445,575000,3,1.5,Midland,1576,25265,1923,119,365,0
Single Family Residential,3220 E Roosevelt Ave,Tacoma,WA,98404,460000,4,2,South Tacoma,2800,9750,1911,120,164,0
Vacant Land,7812 S L St,Tacoma,WA,98408,80000,,,South Tacoma,,8093,,122,,0
Vacant Land,7810 S L St,Tacoma,WA,98408,60000,,,South Tacoma,,6599,,122,,0
Vacant Land,0 Houghton Way W,Tacoma,WA,98409,149950,,,Tacoma Mall,,8100,,126,,0
Vacant Land,1009 S 14th St,Tacoma,WA,98405,179999,,,Hilltop,,2106,,129,,0
Vacant Land,3226 Loma Ct NE,Tacoma,WA,98422,299000,,,Browns Point,,8581,,131,,0
Vacant Land,1910 N 29th St,Tacoma,WA,98403,415000,,,Old Town,,7059,,133,,0
Single Family Residential,106 S Harrison St,Tacoma,WA,98418,498900,3,1.5,Tacoma,1332,9275,1908,136,375,0
Condo/Co-op,1010 N J St #13,Tacoma,WA,98403,449950,2,1.5,New Tacoma,1444,,1977,137,312,1
Single Family Residential,770 117th St S,Tacoma,WA,98444,439500,6,2,Parkland,1892,8750,1955,138,232,0
Single Family Residential,4634 Lighthouse Dr NE,Tacoma,WA,98422,799950,4,4.5,Harbor Ridge,3910,10200,1985,143,205,0
Single Family Residential,1805 Day Island Blvd W,University Place,WA,98466,2100000,3,3.5,Day Island,3470,7135,2000,145,605,0
Vacant Land,7904 Pacific Ave,Tacoma,WA,98408,599950,,,Fern Hill,,12000,,146,,0
Vacant Land,7624 Pacific Ave,Tacoma,WA,98408,549950,,,Fern Hill,,7900,,147,,0
Vacant Land,1415 E Morton St,Tacoma,WA,98404,120000,,,East Tacoma,,13000,,151,,0
