MDL_Raw,MDL_Score,SPR_Raw,SPR_score,HRPU_Raw,HPRU_score,SDC_Raw,SDC_score,LTK_Raw,LTK_score,X2MR_Finish,2MR_score,APFT_pushups,APFT_situps,APFT_runtime_sec,APFT_score,IOCT_Score,IOCT_time,age,hgt_in,wt_lb,BMI,Sex,ACFT_Score
300,90,11.4,93,37,77,1:27,100,15,90,12:44,100,70,90,749,294,932,2.31,24,73,210,28.26885564,Male,550
150,62,5.3,62,28,69,2:22,67,2,62,16:24,80,70,89,839,343,902,3.34,22,63,120,21.07775477,Female,402
150,62,6.4,65,20,65,2:03,77,9,78,16:29,80,58,80,838,325,908,3.3,21,64,140,22.84566161,Female,427
200,70,8.2,71,33,73,1:35,100,9,78,12:45,100,74,87,713,324,896,2.37,23,67,163,26.04041438,Male,492
220,74,9.8,82,40,80,1:29,100,13,86,15:56,83,72,82,835,284,926,2.32,21,72,178,24.19161685,Male,505
300,90,10.7,88,51,91,1:24,100,18,96,14:42,91,85,85,749,329,848,2.42,23,68,174,27.15228501,Male,556
200,70,8.7,75,33,73,1:59,81,9,78,17:00,76,87,83,836,274,710,3.12,22,65,159,25.84728139,Male,453
220,74,8.1,71,30,70,1:39,98,5,70,16:07,82,71,86,683,300,908,2.35,22,67,162,24.68351901,Male,465
300,90,10.6,87,47,87,1:28,100,20,100,12:43,100,95,105,730,355,902,2.36,24,70,186,27.52483021,Male,564
300,90,11.4,93,40,80,1:16,100,15,90,16:13,81,88,84,755,331,926,2.32,21,72,194,27.11408283,Male,534
240,78,10.2,85,32,72,1:36,99,11,82,13:46,98,72,67,749,277,824,2.45,22,72,185,25.0070646,Male,514
260,82,8.6,74,56,96,1:37,99,10,80,15:04,89,105,115,670,375,978,2.22,22,68,177,26.99533539,Male,520
240,78,9.6,81,37,77,1:29,100,14,88,11:35,100,86,101,642,365,954,2.26,21,70,163,23.4369671,Male,524
260,82,9.8,82,31,71,1:32,100,10,80,15:14,88,72,79,761,308,884,2.39,22,71,206,27.31749992,Male,503
340,100,13.5,100,38,78,1:28,100,12,84,16:03,82,73,81,803,289,770,2.54,22,74,220,27.91940639,Male,544
220,74,7.9,70,26,68,1:53,87,4,68,14:44,91,76,64,770,274,710,3.11,21,69,167,23.29318202,Male,458
260,82,11.8,95,54,94,1:26,100,16,92,13:19,100,100,84,706,356,1000,2.06,23,68,172,25.90245822,Male,563
160,63,6.2,64,17,63,2:10,70,0,0,19:03,64,43,73,910,276,740,4.52,21,72,191,26.55502958,Female,324
260,82,8.7,75,40,80,1:43,96,12,84,16:12,81,90,85,833,283,836,2.43,22,72,178,24.31881656,Male,498
260,82,6.8,66,37,77,1:40,98,15,90,15:25,87,81,85,765,320,718,3.08,22,71,168,23.34047336,Male,500
240,78,9.5,80,23,66,1:42,97,0,0,13:19,100,84,75,734,295,690,3.14,22,75,231,28.80813842,Male,421
240,78,9.5,80,32,72,1:42,97,9,78,14:38,92,86,79,760,318,762,2.56,22,69,163,24.53115161,Male,497
300,90,8.4,73,55,95,1:37,99,18,96,11:45,100,83,92,681,349,944,2.28,21,71,171,24.29967754,Male,553
220,74,8.6,74,27,68,1:40,98,10,80,15:05,89,72,82,813,286,788,2.51,21,66,173,26.52448651,Male,483
300,90,9,77,36,76,1:34,100,10,80,14:03,96,67,83,748,294,896,2.37,23,72,181,25.29715975,Male,519
260,82,11.9,96,41,81,1:17,100,13,86,15:49,84,80,82,678,338,908,2.35,22,75,206,24.51764536,Male,529
260,82,9.8,82,35,75,1:30,100,10,80,14:39,92,68,75,863,266,710,3.12,22,73,222,30.17156708,Male,511
160,63,6.8,66,8,50,2:10,70,0,0,18:40,66,44,70,922,284,758,4.29,21,68,157,24.17024215,Female,315
240,78,8.3,73,41,81,1:57,83,10,80,15:42,85,85,82,852,283,718,3.1,22,68,175,27.30923463,Male,480
340,100,11.7,95,33,73,1:38,99,20,100,14:51,90,89,87,795,290,848,2.42,22,70,180,25.59374321,Male,557
260,82,9.3,79,36,76,1:37,99,13,86,14:13,95,74,85,761,313,940,2.29,22,69,172,25.15710288,Male,517
240,78,9.5,80,31,71,2:01,79,11,82,18:01,69,70,72,854,258,762,2.56,22,71,199,27.045684,Male,459
300,90,11.6,94,46,86,1:30,100,19,98,16:25,80,90,93,802,294,800,2.49,21,73,209,28.26885564,Male,548
260,82,8.5,73,34,74,1:50,90,7,74,16:48,77,72,66,855,258,718,3.09,24,70,215,30.62622081,Male,470
340,100,9.5,80,37,77,1:29,100,10,80,15:15,88,73,80,787,295,812,2.47,22,70,182,24.87786981,Male,525
300,90,10.4,86,30,70,1:32,100,6,72,15:07,89,67,80,848,255,896,2.37,22,73,198,25.64873176,Male,507
150,62,5,62,17,63,2:28,66,6,72,15:42,85,42,85,879,294,804,4.06,23,63,123,21.12398004,Female,410
170,64,5.7,63,18,64,2:26,66,1,60,19:19,64,54,90,1001,287,780,4.17,22,65,158,25.68052473,Female,381
170,64,4.6,61,12,61,2:18,68,0,0,15:51,84,60,80,917,298,844,3.56,23,66,143,23.67944488,Female,338
240,78,9.5,80,21,65,1:31,100,0,0,15:24,87,69,88,764,297,768,2.55,22,67,210,31.84478687,Male,410
170,64,4.7,61,25,67,1:48,92,13,86,13:33,99,54,104,739,358,944,3.18,22,68,146,21.94090579,Female,469
200,70,10.2,85,38,78,1:33,100,10,80,15:40,85,78,76,785,294,848,2.42,23,72,192,25.41478848,Male,498
200,70,8.2,71,14,62,1:39,98,7,74,15:15,88,72,74,723,290,818,2.46,21,67,145,21.97294741,Male,463
160,63,402,100,21,65,2:03,77,4,68,14:19,94,62,99,853,345,902,3.32,24,64,127,21.50106395,Female,467
280,86,10.6,87,33,73,1:37,99,10,80,15:22,87,62,82,758,286,770,2.54,21,72,198,25.78094172,Male,512
260,82,9.5,80,29,69,1:34,100,10,80,14:09,95,70,83,779,291,824,2.45,21,71,190,26.41526626,Male,506
260,82,10.1,84,23,66,1:26,100,16,92,14:06,95,74,85,805,293,914,2.34,23,73,193,25.25210189,Male,519
160,63,3.9,30,20,65,2:30,65,5,70,19:03,64,46,79,1001,279,758,4.27,22,66,142,23.01241827,Female,357
300,90,10.5,87,38,78,1:33,100,8,76,13:34,99,79,87,740,329,776,2.53,22,73,182,24.19161685,Male,530
340,100,11.4,93,27,68,1:43,96,11,82,16:07,82,86,78,834,288,750,2.59,21,72,181,24.59834319,Male,521
240,78,12,97,26,68,1:33,100,9,78,18:47,66,72,75,842,265,758,2.58,22,73,225,28.30538897,Male,487
150,62,5.1,62,14,62,2:27,66,8,76,14:03,96,65,88,812,350,908,3.3,23,64,131,22.01708949,Female,424
300,90,9.4,79,35,75,1:35,100,10,80,12:36,100,70,79,731,292,794,2.5,22,66,214,33.43026998,Male,524
220,74,9.4,79,30,70,1:41,97,8,76,15:45,84,72,72,818,276,750,2.59,22,73,200,26.63796012,Male,480
150,62,4,35,8,50,2:10,70,0,0,16:12,81,45,80,887,291,772,4.21,20,66,146,22.12989703,Female,298
160,63,7.2,68,30,70,2:18,68,8,76,13:36,99,72,78,750,294,726,3.06,21,69,139,19.55477009,Male,444
260,82,7.7,69,36,76,1:46,94,17,94,13:50,97,72,89,828,343,1000,2.5,26,66,165,25.87867268,Female,512
300,90,10.9,89,45,85,1:33,100,12,84,15:28,86,85,80,786,299,848,2.42,22,67,214,31.84478687,Male,534
340,100,9.1,77,47,87,1:35,100,20,100,13:23,100,80,85,686,336,936,2.3,22,76,183,22.92125796,Male,564
340,100,12.4,99,40,80,1:20,100,14,88,13:44,98,86,82,764,312,968,2.24,23,71,222,30.17156708,Male,565
150,62,3.4,5,10,60,2:57,61,3,65,17:23,74,59,77,946,290,804,4.04,24,60,110,21.85896618,Female,327
300,90,10,83,40,80,1:49,91,10,80,12:28,100,100,95,722,353,914,2.34,24,71,166,23.58075217,Male,524
340,100,11.4,93,36,76,1:34,100,12,84,18:00,69,72,78,759,286,818,2.46,21,70,186,26.02509843,Male,522
180,65,6.2,64,3,25,2:06,74,0,0,17:02,76,45,86,986,289,758,4.35,23,65,164,26.84782131,Female,304
300,90,8.9,76,35,75,1:36,99,15,90,13:42,98,90,88,738,339,818,2.46,22,72,175,23.00453261,Male,528
300,90,11.8,95,20,65,1:27,100,13,86,17:49,71,75,80,879,279,740,3.01,23,72,215,28.29293091,Male,507
340,100,14.6,100,46,86,1:24,100,19,98,15:11,88,73,83,780,286,788,2.51,22,68,216,31.52037008,Male,572
260,82,10.9,89,28,69,1:48,92,10,80,16:40,78,83,90,782,297,872,2.4,21,68,174,26.68143614,Male,490
300,90,11.2,91,29,69,1:30,100,4,68,14:49,91,70,68,802,270,740,3.01,22,71,205,27.31749992,Male,509
260,82,11.4,93,24,67,1:31,100,9,78,16:43,78,72,80,752,311,860,2.41,23,73,215,28.42514087,Male,498
300,90,9.7,81,38,78,1:42,97,12,84,15:08,89,69,81,787,287,788,2.51,22,70,179,25.30617306,Male,519
260,82,6,64,29,69,1:39,98,6,72,13:39,98,68,82,789,284,758,2.58,21,68,161,23.52929034,Male,483
240,78,10.8,89,26,68,1:33,100,13,86,14:14,95,72,88,716,296,782,2.52,22,72,188,25.55069644,Male,516
300,90,9.3,79,33,73,1:30,100,8,76,13:00,100,86,78,717,327,824,2.45,21,73,223,28.17672811,Male,518
150,62,3.6,15,18,64,2:09,71,0,0,16:36,79,54,77,939,288,772,4.23,22,67,190,29.34957975,Female,291
260,82,8.8,75,29,69,1:25,100,10,80,13:25,100,87,88,740,323,818,2.46,23,70,191,27.3191641,Male,506
260,82,9.5,80,45,85,1:28,100,15,90,15:13,88,82,81,723,324,940,2.29,22,70,169,24.86113697,Male,525
260,82,10.5,87,26,68,1:42,97,12,84,17:52,70,73,79,819,287,800,2.49,21,68,180,26.63693246,Male,488
200,70,9,77,30,70,2:05,75,9,78,15:55,83,75,82,769,299,762,2.57,26,67,184,29.59873187,Male,453
